País;Reviews;Hotel-reviews;Votes;Score;Tipo-viagem;Piscina;Academia;Tenis;Spa;Casino;Internet;Estrelas;Hotel
USA;11;4;13;5;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;119;21;75;3;Business;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;36;9;25;5;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;14;7;14;4;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;5;5;2;4;Solo;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;31;8;27;3;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;45;12;46;4;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;2;1;4;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
India;24;3;8;4;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;12;7;11;3;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;102;24;58;2;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Australia;20;9;24;3;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;7;6;9;2;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;22;5;13;3;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;3;3;0;3;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
New Zeland;146;17;33;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;8;8;9;1;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;9;3;1;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;41;9;19;3;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;8;7;26;2;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;10;5;2;4;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
New Zeland;4;3;3;1;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;18;7;19;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;4;4;3;2;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Ireland;29;11;15;4;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;114;42;52;4;Business;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Canada;30;12;17;5;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
UK;87;18;36;3;Business;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;26;10;28;5;Solo;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Ireland;8;7;9;5;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
